Team,QB,RB,WR,OL,Offense,DL,LB,S,CB,Defense
Commanders,34133075,4909186,33987468,43414265,125974317,41724432,12239078,6473356,32092566,92529432
Lions,34300000,10193377,17840592,50635863,124272224,46072228,11187138,11621982,20811989,89693337
Chiefs,39323381,8528058,21257010,38370936,124226212,56317799,8680730,12759009,12369801,90127339
Cardinals,16839481,8998826,31733118,54175671,122102489,35779340,19840423,20970772,10730517,87321052
Titans,40433200,19575552,20667824,33316487,121723265,48292894,9491324,13867941,12729917,84382076
Cowboys,22610408,22560915,16504127,43543395,121217565,35156385,13117934,9433724,21564482,79272525
Ravens,25517666,9765808,11685498,49227077,113780624,29465501,9466724,13554303,35264657,87751185
Panthers,25537226,13907376,27511757,38362852,113500521,29807856,22234137,7968659,19435504,79446156
Patriots,6169118,7892744,36407539,30624331,112893221,49452268,9020038,16699924,25372104,100544334
49ers,37425448,5595537,17828248,37938652,110949983,53496795,19286683,18414292,18297439,109495209
Broncos,25960000,7375238,23850569,46578649,110930423,42787266,8884443,25238464,25923798,102833971
Jets,13990556,6927225,31722049,47044007,109547734,60888136,25375333,12944845,16416791,115625105
Vikings,33642336,15557080,23513507,29946324,109430940,40414069,24318086,12931357,13191356,90854868
Colts,22870224,12049023,14349377,49589344,109315922,55139705,22451627,5690134,25396793,108678259
Buccaneers,16374031,8084083,29690705,45098989,107266550,31794762,29075896,9025913,19634020,89530591
Chargers,10990739,11986351,41160315,34058859,106486457,62922430,11333491,16947394,24029498,115232813
Jaguars,12948627,7299624,34369396,31868186,105943592,59993975,13520608,15474157,34344153,123332893
Dolphins,15482489,15120003,24701322,28098065,103746933,41426817,20490784,12245862,30718942,104882405
Giants,12010836,11257551,42463160,32566154,103508479,49370342,12833031,7341471,18089620,87634464
Packers,32615878,10427629,17503070,29936460,101873345,47262698,11738322,15629312,16690695,91321027
Bills,20792281,7901686,22332837,42091766,101144919,33197836,26642886,19013675,31889572,110743969
Saints,7993395,11887265,31597977,35674285,99684327,36367544,13405163,12479901,18906437,81159045
Raiders,22994000,12870435,24702987,25655858,99204961,42259057,9046817,10732552,17136874,79175300
Bengals,12075037,17219643,27030754,30847053,95343456,55489129,10254820,25533256,25657432,116934637
Browns,16538000,16120382,14447211,39850146,94314330,31434307,9091441,14953160,14237257,69716165
Rams,15925000,7009481,29654328,27565055,94048649,58030310,6719359,8963982,34189335,107902986
Eagles,5719896,5910242,22733563,50860539,93109607,51113076,8344176,7000047,22097512,88554811
Texans,5822429,8293711,21910290,43955497,89373705,31342912,18625204,12093667,24045963,86107746
Seahawks,5846022,10904273,23704221,28280340,78131050,40534229,9408847,21571387,15160637,86675100
Falcons,6055084,6613472,15860067,33453713,74190830,29264035,27844830,5740904,17210459,80060228
Bears,7169080,7330705,15625121,30528345,67942135,40523900,18021333,22054957,10942553,91542743
Steelers,10985289,6600453,15084148,23664637,61359489,75822203,19455039,13476735,17021321,125775298
