Team,Touchdowns,Receiving Yards,Y/R
Arizona Cardinals,27,4619,11.13
Atlanta Falcons,20,3987,10.58
Baltimore Ravens,21,4267,10.78
Buffalo Bills,36,4450,10.72
Carolina Panthers,14,3573,10.27
Chicago Bears,16,3635,10.95
Cincinnati Bengals,36,4806,12.52
Cleveland Browns,21,3619,11.31
Dallas Cowboys,40,4963,11.18
Denver Broncos,20,3856,10.89
Detroit Lions,23,3884,9.81
Green Bay Packers,39,4526,11.26
Houston Texans,21,3630,10.25
Indianapolis Colts,27,3588,11.07
Jacksonville Jaguars,12,3674,10.18
Kansas City Chiefs,37,4937,11.02
Las Vegas Raiders,23,4808,11.21
Los Angeles Chargers,38,5014,11.32
Los Angeles Rams,41,4893,12.05
Miami Dolphins,21,3936,9.74
Minnesota Vikings,34,4450,11.18
New England Patriots,24,4098,11.26
New Orleans Saints,29,3437,11.73
New York Giants,15,3463,9.87
New York Jets,20,3959,11.09
Philadelphia Eagles,20,3585,11.68
Pittsburgh Steelers,23,4017,9.45
San Francisco 49ers,26,4437,12.94
Seattle Seahawks,30,3815,11.77
Tampa Bay Buccaneers,43,5383,10.94
Tennesse Titans,22,3745,10.43
Washington Commanders,21,3746,10.52
