Team,Rushing Yards,YPC,Touchdowns
Arizona Cardinals,2076,4.2,23
Atlanta Falcons,1451,3.7,11
Baltimore Ravens,2479,4.8,18
Buffalo Bills,2209,4.8,20
Carolina Panthers,1842,4,17
Chicago Bears,2018,4.2,14
Cincinnati Bengals,1742,4,16
Cleveland Browns,2471,5.1,20
Dallas Cowboys,2119,4.5,15
Denver Broncos,2025,4.5,16
Detroit Lions,1886,4.4,12
Green Bay Packers,1900,4.3,13
Houston Texans,1422,3.4,8
Indianapolis Colts,2540,5.1,22
Jacksonville Jaguars,1755,4.5,13
Kansas City Chiefs,1955,4.5,16
Las Vegas Raiders,1617,3.9,14
Los Angeles Chargers,1834,4.3,18
Los Angeles Rams,1683,4,10
Miami Dolphins,1568,3.5,12
Minnesota Vikings,1930,4.3,10
New England Patriots,2151,4.4,24
New Orleans Saints,1991,3.9,12
New York Giants,1688,4,8
New York Jets,1667,4.4,14
Philadelphia Eagles,2715,4.9,25
Pittsburgh Steelers,1583,3.9,10
San Francisco 49ers,2166,4.3,22
Seattle Seahawks,2074,5,18
Tampa Bay Buccaneers,1672,4.3,18
Tennesse Titans,2404,4.4,23
Washington Commanders,2061,4.3,13
