Team,Interceptions,Sacks,Sack Yards,Fumbles
Football Team,15,43,305,10
Buccaneers,12,23,154,3
Seahawks,7,46,383,4
49ers,14,33,216,5
Chargers,15,31,214,3
Steelers,11,38,239,0
Cardinals,11,39,343,16
Eagles,10,31,181,6
Jets,20,53,418,1
Giants,20,38,267,4
Saints,13,37,251,2
Patriots,13,28,241,7
Vikings,7,30,212,6
Dolphins,14,40,285,5
Raiders,14,40,241,9
Rams,18,31,251,3
Chiefs,13,28,146,8
Jaguars,17,32,238,6
Colts,8,32,227,7
Texans,15,44,325,5
Titans,14,47,327,9
Packers,7,33,211,5
Lions,14,36,286,6
Broncos,9,40,263,7
Cowboys,11,33,163,8
Browns,14,49,299,5
Bengals,14,55,403,2
Bears,20,58,428,5
Panthers,21,52,334,10
Bills,16,27,166,8
Ravens,18,57,306,7
Falcons,15,40,274,9
